id,quantity,author,title,publisher,category_id
32,220,Arthur Golden,Memoirs of a Geisha,Hachette Livre,2
33,169,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",Macmillan Publishers,3
34,458,"Paulo Coelho, Alan R. Clarke",The Alchemist,HarperCollins,1
35,192,Lois Lowry,"The Giver (The Giver, #1)",Springer,10
36,474,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",Oxford University Press,2
37,167,Audrey Niffenegger,The Time Traveler's Wife,HarperCollins,3
38,101,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",Oxford University Press,11
39,185,Elizabeth Gilbert,"Eat, Pray, Love",Penguin Random House,10
40,159,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Wiley,1
41,1707,Louisa May Alcott,"Little Women (Little Women, #1)",Simon & Schuster,3
42,2568,"Charlotte Brontë, Michael Mason",Jane Eyre,Oxford University Press,12
43,190,Nicholas Sparks,"The Notebook (The Notebook, #1)",Hachette Livre,10
44,264,Yann Martel,Life of Pi,Macmillan Publishers,9
45,128,Sara Gruen,Water for Elephants,Hachette Livre,11
46,251,Markus Zusak,The Book Thief,Springer,4
47,507,Ray Bradbury,Fahrenheit 451,Oxford University Press,9
48,194,Stephenie Meyer,"New Moon (Twilight, #2)",Penguin Random House,3
49,45,Shel Silverstein,Where the Sidewalk Ends,Macmillan Publishers,10
50,178,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",Macmillan Publishers,1
51,185,Stephenie Meyer,"Eclipse (Twilight, #3)",Springer,12
52,217,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",Macmillan Publishers,11
53,257,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Oxford University Press,8
54,515,Aldous Huxley,Brave New World,Scholastic,1
55,183,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",Oxford University Press,4
56,125,Sue Monk Kidd,The Secret Life of Bees,Penguin Random House,12
57,2277,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,Pearson,9
58,180,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,Penguin Random House,6
59,183,Mark Haddon,The Curious Incident of the Dog in the Night-Time,Wiley,6
60,14,Paula Hawkins,The Girl on the Train,Wiley,10
61,287,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",Wiley,1
62,2498,"Emily Brontë, Richard J. Dunn",Wuthering Heights,Simon & Schuster,10
63,125,Jodi Picoult,My Sister's Keeper,Oxford University Press,5
64,241,Kurt Vonnegut Jr.,Slaughterhouse-Five,Hachette Livre,4
65,409,Margaret Mitchell,Gone with the Wind,Wiley,7
66,197,Khaled Hosseini,A Thousand Splendid Suns,Oxford University Press,6
67,128,Stephen Chbosky,The Perks of Being a Wallflower,Hachette Livre,7
68,164,Veronica Roth,"Insurgent (Divergent, #2)",Macmillan Publishers,1
69,224,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",Scholastic,5
70,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,Simon & Schuster,9
71,289,Stephen King,The Shining (The Shining #1),Springer,7
72,161,Stephenie Meyer,"The Host (The Host, #1)",Scholastic,2
73,187,John Green,Looking for Alaska,Simon & Schuster,10
74,193,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",Wiley,5
75,1969,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,Wiley,12
76,138,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",Oxford University Press,7
77,129,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",Pearson,4
78,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,Scholastic,2
79,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,Oxford University Press,4
80,92,Jeannette Walls,The Glass Castle,Simon & Schuster,5
81,108,Jon Krakauer,Into the Wild,Wiley,9
82,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,Macmillan Publishers,9
83,176,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",Scholastic,2
84,81,Shel Silverstein,The Giving Tree,HarperCollins,3
85,158,John Grisham,A Time to Kill,Penguin Random House,1
86,109,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),Scholastic,10
87,178,John Green,Paper Towns,Simon & Schuster,11
88,129,William Goldman,The Princess Bride ,Scholastic,1
89,156,S.E. Hinton,The Outsiders,Macmillan Publishers,5
90,147,James Dashner,"The Maze Runner (Maze Runner, #1)",HarperCollins,11
91,124,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Penguin Random House,4
92,1350,Frances Hodgson Burnett,The Secret Garden,Hachette Livre,8
93,555,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,Wiley,4
94,2303,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,Scholastic,7
95,133,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",Scholastic,10
96,2207,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,HarperCollins,12
97,209,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",Simon & Schuster,9
98,147,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",Simon & Schuster,10
99,39,Barbara Kingsolver,The Poisonwood Bible,Wiley,9
100,59,David Sedaris,Me Talk Pretty One Day,Wiley,5
101,110,Maurice Sendak,Where the Wild Things Are,Macmillan Publishers,11
102,1310,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,HarperCollins,5
103,181,Cormac McCarthy,The Road,Simon & Schuster,3
104,153,Veronica Roth,"Allegiant (Divergent, #3)",Oxford University Press,7
105,48,Tina Fey,Bossypants,Hachette Livre,1
106,131,Nicholas Sparks,A Walk to Remember,HarperCollins,12
107,144,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",HarperCollins,5
108,1319,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,Macmillan Publishers,7
109,202,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",Scholastic,6
110,98,Kim Edwards,The Memory Keeper's Daughter,Pearson,10
111,168,Jojo Moyes,"Me Before You (Me Before You, #1)",Springer,4
112,251,Joseph Heller,Catch-22,Simon & Schuster,6
113,172,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,Pearson,11
114,125,Jeffrey Eugenides,Middlesex,Hachette Livre,6
115,2448,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,Simon & Schuster,8
116,165,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Oxford University Press,2
117,126,Amy Tan,The Joy Luck Club,Simon & Schuster,10
118,236,Margaret Atwood,The Handmaid's Tale,Pearson,2
119,93,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Penguin Random House,10
120,370,"Vladimir Nabokov, Craig Raine",Lolita,Simon & Schuster,4
121,80,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Simon & Schuster,3
122,11,John Grisham,"The Firm (Penguin Readers, Level 5)",Simon & Schuster,6
123,151,Emma Donoghue,Room,HarperCollins,3
124,1929,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,Scholastic,12
125,241,Frank Herbert,Dune (Dune Chronicles #1),Macmillan Publishers,8
126,100,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,Oxford University Press,12
127,190,Walter Isaacson,Steve Jobs,Hachette Livre,2
128,275,Ken Kesey,One Flew Over the Cuckoo's Nest,Springer,10
129,666,Ernest Hemingway,The Old Man and the Sea,Scholastic,3
130,381,John Steinbeck,The Grapes of Wrath,Simon & Schuster,10
131,123,Mitch Albom,The Five People You Meet in Heaven,Penguin Random House,6
132,1314,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",Hachette Livre,8
133,122,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",Simon & Schuster,5
134,175,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",Macmillan Publishers,10
135,75,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,Penguin Random House,5
136,189,Diana Gabaldon,"Outlander (Outlander, #1)",Macmillan Publishers,6
137,1579,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,Pearson,1
138,155,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Wiley,1
139,193,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Macmillan Publishers,12
140,148,Andy Weir,The Martian,Penguin Random House,3
141,255,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",Scholastic,4
142,139,Anthony Doerr,All the Light We Cannot See,Macmillan Publishers,1
143,16,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hachette Livre,4
144,180,Dan Brown,Deception Point,Hachette Livre,10
145,108,Donna Tartt,The Goldfinch,Oxford University Press,5
146,150,Jay Asher,Thirteen Reasons Why,Oxford University Press,6
147,169,Tracy Chevalier,Girl with a Pearl Earring,Oxford University Press,3
148,130,Gayle Forman,"If I Stay (If I Stay, #1)",Scholastic,11
149,80,Anita Diamant,The Red Tent,Hachette Livre,11
150,121,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Oxford University Press,3
151,111,Nicholas Sparks,Dear John,HarperCollins,4
152,125,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",Springer,10
153,1732,William Shakespeare,Macbeth,Wiley,4
154,453,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",Penguin Random House,6
155,65,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",Scholastic,9
156,72,"Dr. Seuss, לאה נאור",Green Eggs and Ham,HarperCollins,12
157,338,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",Hachette Livre,9
158,92,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Scholastic,8
159,1725,Charles Dickens,Great Expectations,Pearson,2
160,470,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",Simon & Schuster,10
161,675,"Albert Camus, Matthew    Ward",The Stranger,Simon & Schuster,8
162,72,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",Pearson,10
163,103,Rainbow Rowell,Eleanor & Park,Simon & Schuster,2
164,176,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",HarperCollins,4
165,84,Ally Condie,"Matched (Matched, #1)",Macmillan Publishers,3
166,196,Neil Gaiman,"American Gods (American Gods, #1)",Penguin Random House,5
167,195,"Stephen King, Bernie Wrightson",The Stand,Pearson,11
168,95,Nicholas Sparks,The Last Song,HarperCollins,1
169,185,Dan Brown,Digital Fortress,HarperCollins,4
170,1710,"Jane Austen, Fiona Stafford",Emma,Hachette Livre,7
171,1492,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,Penguin Random House,4
172,283,Anthony Burgess,A Clockwork Orange,HarperCollins,8
173,134,William Paul Young,The Shack,Hachette Livre,12
174,87,Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",HarperCollins,12
175,7,Stephen King,It,Pearson,1
176,1714,"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,Scholastic,10
177,246,Sylvia Plath,The Bell Jar,Macmillan Publishers,3
178,184,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",Wiley,2
179,972,"Hermann Hesse, Hilda Rosner",Siddhartha,Springer,3
180,223,Truman Capote,In Cold Blood,Pearson,10
181,119,"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)",Scholastic,9
182,103,Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",Hachette Livre,7
183,242,"Roald Dahl, Quentin Blake",Matilda,Macmillan Publishers,2
184,119,Erin Morgenstern,The Night Circus,Hachette Livre,8
185,111,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Penguin Random House,2
186,98,Scott Westerfeld,"Uglies (Uglies, #1)",Hachette Livre,7
187,115,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",Hachette Livre,4
188,380,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",Scholastic,3
189,101,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,Wiley,10
190,90,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,Hachette Livre,10
191,123,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",Pearson,7
192,120,Malcolm Gladwell,Outliers: The Story of Success,Pearson,10
193,1823,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",Hachette Livre,1
194,116,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,Simon & Schuster,2
195,162,Chuck Palahniuk,Fight Club,Hachette Livre,1
196,109,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",Macmillan Publishers,12
197,155,Alice Walker,The Color Purple,Macmillan Publishers,12
198,119,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,Simon & Schuster,11
199,474,Agatha Christie,And Then There Were None,HarperCollins,7
200,208,Dan Brown,"The Lost Symbol (Robert Langdon, #3)",Scholastic,3
201,91,Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",Oxford University Press,7
202,85,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",Hachette Livre,10
203,2380,Charles Dickens,A Christmas Carol,Pearson,2
204,189,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",Springer,2
205,93,Kiera Cass,"The Selection (The Selection, #1)",Wiley,11
206,109,Janet Evanovich,"One for the Money (Stephanie Plum, #1)",Scholastic,2
207,66,Rebecca Skloot,The Immortal Life of Henrietta Lacks,Hachette Livre,2
208,187,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",HarperCollins,4
209,132,Richelle Mead,"Vampire Academy (Vampire Academy, #1)",Springer,6
210,116,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,Springer,2
211,155,Ian McEwan,Atonement,Penguin Random House,6
212,1316,"Franz Kafka, Stanley Corngold",The Metamorphosis,Oxford University Press,7
213,94,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",HarperCollins,9
214,112,Ernest Cline,Ready Player One,Scholastic,10
215,90,Garth Stein,The Art of Racing in the Rain,Springer,6
216,70,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Oxford University Press,7
217,96,Sylvia Day,"Bared to You (Crossfire, #1)",Macmillan Publishers,1
218,270,"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",Macmillan Publishers,5
219,20,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,Macmillan Publishers,11
220,74,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",Wiley,8
221,143,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",Penguin Random House,7
222,163,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",Pearson,10
223,97,Lauren Kate,"Fallen (Fallen, #1)",Hachette Livre,11
224,81,John Steinbeck,East of Eden,Hachette Livre,8
225,131,Gillian Flynn,Dark Places,Springer,12
226,134,John Grisham,The Client,Oxford University Press,9
227,84,"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",Scholastic,9
228,845,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,Oxford University Press,8
229,1451,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,Springer,2
230,117,Tatiana de Rosnay,Sarah's Key,Scholastic,9
231,213,Stephen King,"The Gunslinger (The Dark Tower, #1)",Penguin Random House,1
232,347,"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,Wiley,9
233,87,Laurie Halse Anderson,Speak,Wiley,12
234,95,Liane Moriarty,The Husband's Secret,Macmillan Publishers,7
235,101,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,Macmillan Publishers,11
236,249,Stephen King,Carrie,Macmillan Publishers,5
237,79,Augusten Burroughs,Running with Scissors,Hachette Livre,6
238,137,Max Brooks,World War Z: An Oral History of the Zombie War,Pearson,3
239,235,Dan Brown,"Inferno (Robert Langdon, #4)",Wiley,12
240,81,Lois Lowry,Number the Stars,Simon & Schuster,3
241,122,James Patterson,"Along Came a Spider (Alex Cross, #1)",Springer,10
242,197,Stephen King,Misery,HarperCollins,2
243,136,Gillian Flynn,Sharp Objects,Simon & Schuster,12
244,125,Katherine Paterson,Bridge to Terabithia,HarperCollins,10
245,97,"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",HarperCollins,5
246,250,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Pearson,8
247,1379,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,Oxford University Press,6
248,104,Jonathan Safran Foer,Extremely Loud and Incredibly Close,HarperCollins,11
249,124,R.J. Palacio,Wonder,Macmillan Publishers,4
250,99,Dr. Seuss,The Cat in the Hat,Penguin Random House,8
251,92,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",Hachette Livre,5
252,48,"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)",HarperCollins,6
253,96,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",Simon & Schuster,11
254,147,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,HarperCollins,3
255,67,"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Springer,1
256,4,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,Macmillan Publishers,7
257,279,"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",Scholastic,2
258,107,James Dashner,"The Scorch Trials (Maze Runner, #2)",Hachette Livre,6
259,353,Dale Carnegie,How to Win Friends and Influence People,Springer,6
260,59,Frances Mayes,Under the Tuscan Sun,Pearson,9
261,107,Liane Moriarty,Big Little Lies,Macmillan Publishers,7
262,61,Gail Carson Levine,Ella Enchanted,Wiley,11
263,343,Ernest Hemingway,The Sun Also Rises,Macmillan Publishers,12
264,127,Betty  Smith,A Tree Grows in Brooklyn,HarperCollins,2
265,111,James Patterson,"Kiss the Girls (Alex Cross, #2)",Springer,11
266,90,Kristin Hannah,The Nightingale,Penguin Random House,9
267,159,Kazuo Ishiguro,Never Let Me Go,Scholastic,11
268,17,Cecelia Ahern,P.S. I Love You,Wiley,1
269,306,"Daphne du Maurier, Sally Beauman",Rebecca,Penguin Random House,4
270,163,Daniel Keyes,Flowers for Algernon,Penguin Random House,8
271,177,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,Penguin Random House,2
272,105,Lisa See,Snow Flower and the Secret Fan,Oxford University Press,4
273,259,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,HarperCollins,1
274,116,John Green,An Abundance of Katherines,Pearson,1
275,169,Isaac Asimov,Foundation (Foundation #1),Macmillan Publishers,2
276,109,Neil Gaiman,The Ocean at the End of the Lane,Oxford University Press,9
277,32,Shel Silverstein,A Light in the Attic,Wiley,4
278,95,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",Wiley,8
279,108,Lauren Oliver,"Delirium (Delirium, #1)",Pearson,6
280,145,John Grisham,The Pelican Brief,Scholastic,2
281,153,Neil Gaiman,Coraline,Macmillan Publishers,7
282,114,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Macmillan Publishers,6
283,312,Jack Kerouac,On the Road,Macmillan Publishers,4
284,122,Graeme Simsion,"The Rosie Project (Don Tillman, #1)",Hachette Livre,12
285,99,Nicholas Sparks,The Lucky One,Simon & Schuster,5
286,154,"Ayn Rand, Leonard Peikoff",The Fountainhead,Oxford University Press,7
287,117,Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)",Wiley,10
288,193,Richard Adams,"Watership Down (Watership Down, #1)",Wiley,10
289,18,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),Penguin Random House,4
290,74,Abraham Verghese,Cutting for Stone,Oxford University Press,2
291,299,"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",Scholastic,2
292,2573,Robert Louis Stevenson,Treasure Island,Wiley,11
293,69,Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)",Hachette Livre,7
294,145,Stephen King,11/22/63,HarperCollins,1
295,162,Eric Carle,The Very Hungry Caterpillar Board Book,Springer,7
296,155,Kurt Vonnegut Jr.,Cat's Cradle,Macmillan Publishers,6
297,1248,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,Scholastic,6
298,69,"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Macmillan Publishers,9
299,178,John Boyne,The Boy in the Striped Pajamas,Simon & Schuster,7
300,1369,Joseph Conrad,Heart of Darkness,Oxford University Press,9
301,117,Nicholas Sparks,Safe Haven,Simon & Schuster,11
302,113,Rhonda Byrne,"The Secret (The Secret, #1)",Simon & Schuster,12
303,52,Wally Lamb,I Know This Much Is True,Macmillan Publishers,7
304,198,Stephen King,Pet Sematary,Springer,10
305,61,Wally Lamb,She's Come Undone,Hachette Livre,2
306,102,Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Hachette Livre,7
307,94,Sophie Kinsella,Can You Keep a Secret?,Scholastic,4
308,96,Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)",Oxford University Press,2
309,71,Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)",Oxford University Press,4
310,201,Colleen McCullough,The Thorn Birds,Macmillan Publishers,10
311,129,"Neil Gaiman, Dave McKean",The Graveyard Book,HarperCollins,6
312,113,M.L. Stedman,The Light Between Oceans,HarperCollins,12
313,134,"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)",Pearson,2
314,128,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,Springer,1
315,95,Bill Bryson,A Walk in the Woods,Hachette Livre,10
316,107,Maya Angelou,I Know Why the Caged Bird Sings,HarperCollins,1
317,65,Christina Baker Kline,Orphan Train,Hachette Livre,6
318,101,Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)",Simon & Schuster,3
319,78,Maria Semple,"Where'd You Go, Bernadette",Scholastic,12
320,69,Wilson Rawls,Where the Red Fern Grows,Macmillan Publishers,3
321,152,Neil Gaiman,Neverwhere,Hachette Livre,6
322,274,"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being,Penguin Random House,4
323,80,Rainbow Rowell,Fangirl,Penguin Random House,10
324,138,John Irving,A Prayer for Owen Meany,Oxford University Press,12
325,96,Janet Fitch,White Oleander,Simon & Schuster,11
326,91,Marie Lu,"Legend (Legend, #1)",Macmillan Publishers,12
327,84,Jodi Picoult,Nineteen Minutes,Simon & Schuster,9
328,111,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,Oxford University Press,6
329,94,Robert Jordan,"The Eye of the World (Wheel of Time, #1)",Scholastic,7
330,76,Jodi Picoult,The Pact,Simon & Schuster,11
331,312,C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",Hachette Livre,9
332,107,Lisa Genova,Still Alice,Pearson,5
333,81,Sylvia Day,"Reflected in You (Crossfire, #2)",Macmillan Publishers,10
334,182,"Roald Dahl, Quentin Blake",James and the Giant Peach,Wiley,7
335,107,James Patterson,"1st to Die (Women's Murder Club, #1)",HarperCollins,7
336,32,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,Hachette Livre,11
337,129,David Nicholls,One Day,Springer,7
338,98,"Margaret Wise Brown, Clement Hurd",Goodnight Moon,Macmillan Publishers,12
339,38,Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)",Oxford University Press,9
340,1726,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",The Iliad,Springer,5
341,139,J.K. Rowling,The Casual Vacancy,Oxford University Press,6
342,120,John Grisham,The Runaway Jury,Scholastic,12
343,54,David Sedaris,Naked,Oxford University Press,11
344,163,Christopher Paolini,"Eldest (The Inheritance Cycle, #2)",HarperCollins,4
345,1474,"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)",Simon & Schuster,6
